,system_id,time,instantaneous_power_W,temperature_C,voltage,latitude,longitude,alnid,alnip,aluvd,aluvp,bld,blh,cape,cbh,cdir,cp,crr,csf,d2m,deg0l,dndza,dndzn,dwi,fdir,hcc,ie,ilspf,ishf,kx,lcc,lsf,lsp,lsrr,mcc,pev,ptype,skt,slhf,sp,ssr,ssrc,ssrd,ssrdc,str,strc,strd,strdc,t2m,tcc,tciw,tclw,tcwv,tisr,totalx,tp,tsr,tsrc,ttr,ttrc,u10,u100,u10n,uvb,v10,v100,wind
53,1293,2022-01-01 15:45:00,60.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1293,2022-01-01 16:15:00,24.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1293,2022-01-01 09:00:00,48.0,,,43.25,11.5,0.20055793,0.19155824,0.05187586,0.050699323,605.5,84.63721,0.50805664,31.875,479447.12,0.0,2.3283064e-10,0.0,279.40628,3593.829,-1.000001,-1.000001,,207632.88,0.037721455,-7.1980903e-06,0.5555369,-28.449509,-18.447315,0.74988174,0.0,9.2945993e-07,9.0152025e-07,0.0,-2.3799716e-05,1.0000458,281.4738,-46684.75,98843.3,379949.75,588914.25,441490.12,687454.1,-97925.375,-309024.03,1171011.8,923932.94,279.51254,0.7571758,2.8133392e-05,0.11855054,7.7590103,1167346.8,28.885479,9.592623e-07,697503.9,890251.9,-958402.75,-928489.2,1.109186,2.0314069,1.2997153,37143.234,0.1935485,-0.5147985,
56,1293,2022-01-01 12:00:00,312.0,,,43.25,11.5,0.20048884,0.19148083,0.051847488,0.050670892,1060.4375,246.4541,0.10180664,168.00781,1097345.4,0.0,2.3283064e-10,0.0,280.25015,3598.4946,0.2105023,0.24704921,,688521.6,0.0,-2.253853e-05,0.18236613,-65.195694,-17.928997,0.6389453,0.0,9.2945993e-07,7.5111166e-07,0.0,-0.00011298561,1.0000458,285.03348,-213419.12,98826.195,947002.1,1196186.2,1100176.4,1386737.2,-278851.84,-397749.4,1085722.6,961445.2,281.47702,0.6389453,0.0,0.050439835,7.092699,2027143.9,29.006214,9.592623e-07,1412227.2,1634720.1,-976819.56,-973989.2,1.3220347,1.6674759,1.5407062,97714.28,-0.23902076,-0.30278862,
57,1293,2022-01-01 13:15:00,324.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1293,2022-01-01 15:00:00,96.0,,,43.25,11.5,0.20043947,0.19140342,0.0518333,0.050656676,253.9375,126.09961,0.0,176.09766,327586.88,0.0,2.3283064e-10,0.0,280.59476,3598.7747,0.11626305,0.12418258,,285835.62,0.0056765378,-3.5266567e-07,0.10013276,1.551117,-20.8417,0.32116646,0.0,-9.313226e-10,0.0,0.0,-2.206117e-05,1.0000458,281.6021,-43779.5,98778.31,397492.62,425836.88,465883.38,500445.25,-332618.25,-369962.38,993428.1,972721.4,282.6702,0.32559168,0.0,0.03724265,7.344694,906916.6,29.25758,0.0,649096.9,673948.9,-962597.7,-966348.75,1.1843623,1.6422985,0.45624745,45239.61,-0.044899642,-0.06402981,
59,1293,2022-01-01 16:30:00,12.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1293,2022-01-01 11:45:00,312.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1293,2022-01-01 13:30:00,222.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1293,2022-01-01 11:15:00,336.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
